Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
84.19.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.19.90 from any other heading; or No required change in tariff classification to subheading 84.19.90, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.20.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.20.10 from any other heading; or A change to subheading 84.20.10 from subheading 84.20.91 through 84.20.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.20.91-84.20.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.20.91 through 84.20.99 from any other heading,0
84.21.11,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.21.11 from any other heading; or A change to subheading 84.21.11 from subheading 84.21.91 through 84.21.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.21.12,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.21.12 from any other subheading, except from tariff item 84.21.91.aa, 84.21.91.bb or 85.37.10.aa",0
84.21.19-84.21.39,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.21.19 through 84.21.39 from any other heading; or A change to subheading 84.21.19 through 84.21.39 from subheading 84.21.91 through 84.21.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.21.91.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.21.91.aa from any other tariff item,0
84.21.91.bb,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.21.91.bb from any other tariff item,0
84.21.91,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.21.91 from any other heading,0
84.21.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.21.99 from any other heading; or No required change in tariff classification to subheading 84.21.99, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.22.11,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.22.11 from any other subheading, except from tariff item 84.22.90.aa, 84.22.90.bb or 85.37.10.aa or water circulation systems incorporating a pump, whether or not motorized, and auxiliary apparatus for controlling, filtering or dispersing a spray",0
84.22.19-84.22.40,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.22.19 through 84.22.40 from any other heading; or A change to subheading 84.22.19 through 84.22.40 from subheading 84.22.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.22.90.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.22.90.aa from any other tariff item,0
84.22.90.bb,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.22.90.bb from any other tariff item,0
84.22.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.22.90 from any other heading,0
84.23.10-84.23.89,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.23.10 through 84.23.89 from any other heading; or A change to subheading 84.23.10 through 84.23.89 from subheading 84.23.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.23.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.23.90 from any other heading,0
84.24.10-84.24.89,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.24.10 through 84.24.89 from any other heading; or A change to subheading 84.24.10 through 84.24.89 from subheading 84.24.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.24.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.24.90 from any other heading,0
84.25-84.26,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.25 through 84.26 from any other heading, including another heading within that group, except from heading 84.31; or A change to heading 84.25 through 84.26 from heading 84.31, whether or not there is also a change from any other heading, including another heading within that group, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.27.10.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.27.10.aa from any other heading, except from subheading 84.31.20 or 84.83.40 or heading 85.01; or A change to tariff item 84.27.10.aa from subheading 84.31.20 or 84.83.40 or heading 85.01, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.27.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.27.10 from any other heading, except from subheading 84.31.20; or A change to subheading 84.27.10 from subheading 84.31.20, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.27.20.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.27.20.aa from any other heading, except from heading 84.07 through 84.08 or subheading 84.31.20 or 84.83.40; or A change to tariff item 84.27.20.aa from heading 84.07 through 84.08 or subheading 84.31.20 or 84.83.40, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.27.20,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.27.20 from any other heading, except from subheading 84.31.20; or A change to subheading 84.27.20 from subheading 84.31.20, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.27.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.27.90 from any other heading, except from subheading 84.31.20; or A change to subheading 84.27.90 from subheading 84.31.20, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.28,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.28 from any other heading, except from heading 84.29 through 84.31; or A change to heading 84.28 from heading 84.31, whether or not there is also a change from any other heading, except from heading 84.29 through 84.30, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.29.11-84.29.52,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.29.11 through 84.29.52 from any other heading, except from heading 84.28 or 84.30 through 84.31; or A change to subheading 84.29.11 through 84.29.52 from heading 84.31, whether or not there is also a change from any other heading, except from heading 84.28 or 84.30, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.29.59,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.29.59 from any other heading, except from heading 84.28 or 84.30 through 84.31; or A change to subheading 84.29.59 from heading 84.31, whether or not there is also a change from any other heading, except from heading 84.28 or 84.30, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
84.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.30 from any other heading, except from heading 84.28 through 84.29 or 84.31; or A change to heading 84.30 from heading 84.31, whether or not there is also a change from any other heading, except from heading 84.28 through 84.29, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.31,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.31 from any other heading; or No required change in tariff classification to heading 84.31, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.32.10-84.32.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.32.10 through 84.32.80 from any other heading; or A change to subheading 84.32.10 through 84.32.80 from subheading 84.32.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.32.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.32.90 from any other heading,0
84.33.11-84.33.60,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.33.11 through 84.33.60 from any other heading; or A change to subheading 84.33.11 through 84.33.60 from subheading 84.33.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.33.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.33.90 from any other heading,0
84.34.10-84.34.20,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.34.10 through 84.34.20 from any other heading; or A change to subheading 84.34.10 through 84.34.20 from subheading 84.34.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.34.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.34.90 from any other heading,0
84.35.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.35.10 from any other heading; or A change to subheading 84.35.10 from subheading 84.35.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.35.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.35.90 from any other heading,0
84.36.10-84.36.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.36.10 through 84.36.80 from any other heading; or A change to subheading 84.36.10 through 84.36.80 from subheading 84.36.91 through 84.36.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.36.91-84.36.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.36.91 through 84.36.99 from any other heading,0
84.37.10-84.37.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.37.10 through 84.37.80 from any other heading; or A change to subheading 84.37.10 through 84.37.80 from subheading 84.37.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.37.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.37.90 from any other heading,0
84.38.10-84.38.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.38.10 through 84.38.80 from any other heading; or A change to subheading 84.38.10 through 84.38.80 from subheading 84.38.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.38.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.38.90 from any other heading,0
84.39.10-84.39.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.39.10 through 84.39.30 from any other heading; or A change to subheading 84.39.10 through 84.39.30 from subheading 84.39.91 through 84.39.99, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.39.91-84.39.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.39.91 through 84.39.99 from any other heading,0
84.40.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.40.10 from any other heading; or A change to subheading 84.40.10 from subheading 84.40.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.40.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.40.90 from any other heading,0
84.41.10-84.41.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.41.10 through 84.41.80 from any other heading; or A change to subheading 84.41.10 through 84.41.80 from subheading 84.41.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.41.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.41.90 from any other heading; or No required change in tariff classification to subheading 84.41.90, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.42.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.42.30 from any other heading; or A change to subheading 84.42.30 from subheading 84.42.40 through 84.42.50, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.42.40-84.42.50,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.42.40 through 84.42.50 from any other heading,0
84.43.11-84.43.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.43.11 through 84.43.99 from any other subheading, including another subheading within that group",0
84.44-84.47,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.44 through 84.47 from any heading outside that group, except from heading 84.48; or A change to heading 84.44 through 84.47 from heading 84.48, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.48.11-84.48.19,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.48.11 through 84.48.19 from any other heading; or A change to subheading 84.48.11 through 84.48.19 from subheading 84.48.20 through 84.48.59, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.48.20-84.48.59,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.48.20 through 84.48.59 from any other heading,0
84.49,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to heading 84.49 from any other heading,0
84.50.11-84.50.20,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.50.11 through 84.50.20 from any subheading outside that group, except from tariff item 84.50.90.aa, 84.50.90.bb or 85.37.10.aa or washer assemblies incorporating more than one of the following: agitator, motor, transmission, clutch",0
84.50.90.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.50.90.aa from any other tariff item,0
84.50.90.bb,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.50.90.bb from any other tariff item,0
84.50.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.50.90 from any other heading,0
84.51.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.51.10 from any other heading; or A change to subheading 84.51.10 from subheading 84.51.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.51.21-84.51.29,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.51.21 through 84.51.29 from any subheading outside that group, except from tariff item 84.51.90.bb or 84.51.90.aa or subheading 85.37.10",0
84.51.30-84.51.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.51.30 through 84.51.80 from any other heading; or A change to subheading 84.51.30 through 84.51.80 from subheading 84.51.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.51.90.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.51.90.aa from any other tariff item,0
84.51.90.bb,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to tariff item 84.51.90.bb from any other tariff item,0
84.51.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.51.90 from any other heading,0
84.52.10-84.52.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.52.10 through 84.52.30 from any other heading; or A change to subheading 84.52.10 through 84.52.30 from subheading 84.52.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.52.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.52.90 from any other heading,0
84.53.10-84.53.80,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.53.10 through 84.53.80 from any other heading; or A change to subheading 84.53.10 through 84.53.80 from subheading 84.53.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.53.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.53.90 from any other heading,0
84.54.10-84.54.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.54.10 through 84.54.30 from any other heading; or A change to subheading 84.54.10 through 84.54.30 from subheading 84.54.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 35 per cent where the transaction value method is used, or (b) 25 per cent where the net cost method is used.",0
84.54.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.54.90 from any other heading,0
84.55.10-84.55.22,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.55.10 through 84.55.22 from any subheading outside that group, except from tariff item 84.55.90.aa",0
84.55.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.55.30 from any other subheading, except from subheading 84.55.10 through 84.55.22",0
84.55.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",A change to subheading 84.55.90 from any other heading,0
84.56.20-84.56.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.56.20 through 84.56.90 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.57,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to heading 84.57 from any other heading, except from heading 84.59 or more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.58.11,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.58.11 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.58.19,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.58.19 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.58.91,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.58.91 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.58.99,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.58.99 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.59.10,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.10 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.59.21,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.21 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.59.29,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.29 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.59.31,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.31 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.59.39,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.39 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.59.40-84.59.51,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.40 through 84.59.51 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.59.59,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.59 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.59.61,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.61 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.59.69,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.69 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.59.70.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.59.70.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.59.70,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.59.70 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.60.11,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.11 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.60.19,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.19 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.60.21,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.21 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.60.29,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.29 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.60.31,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.31 from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.60.39,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.39 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.60.40.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.60.40.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.60.40,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.40 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.60.90.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.60.90.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.60.90,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.60.90 from any other heading, except from more than one of the following: tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52.",0
84.61.20.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.61.20.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.61.20,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.61.20 from any other heading, except from tariff item 84.66.93.aa",0
84.61.30.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.61.30.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.61.30,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.61.30 from any other heading, except from tariff item 84.66.93.aa",0
84.61.40,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.61.40 from any other heading, except from tariff item 84.66.93.aa",0
84.61.50.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.61.50.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
84.61.50,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to subheading 84.61.50 from any other heading, except from tariff item 84.66.93.aa",0
84.61.90.aa,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof","A change to tariff item 84.61.90.aa from any other heading, except from more than three of the following: subheading 84.13.50 through 84.13.60, tariff item 84.66.93.aa, subheading 85.01.32 or 85.01.52, subheading 85.37.10.",0
