Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
85.07.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.07.80 from any other heading, except from tariff item 85.48.10.aa","A change to subheading 85.07.80 from subheading 85.07.90, whether or not there is also a change from any other heading, except from tariff item 85.48.10.aa, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used, or (b) 50 percent where the net cost method is used.",,0
85.07.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.07.90 from any other heading, except from tariff item 85.48.10.aa","No required change in tariff classification to subheading 85.07.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.08.11,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.08.11 from any other subheading, except from heading 85.01, subheading 85.08.19 or housings of subheading 85.08.70","A change to subheading 85.08.11 from heading 85.01, subheading 85.08.19 or housings of subheading 85.08.70, whether or not there is also a change from any other subheading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.08.19,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to domestic vacuum cleaners of subheading 85.08.19 from any other subheading, except from heading 85.01, subheading 85.08.11 or housings of subheading 85.08.70","A change to domestic vacuum cleaners of subheading 85.08.19 from heading 85.01, subheading 85.08.11 or housings of subheading 85.08.70, whether or not there is also a change from any other subheading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used","A change to any other good of subheading 85.08.19 from any other heading, except from heading 84.79; or A change to any other good of subheading 85.08.19 from subheading 85.08.70, whether or not there is also a change from any other heading, except from heading 84.79, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",1
85.08.60,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.08.60 from any other heading, except from heading 84.79","A change to subheading 85.08.60 from subheading 85.08.70, whether or not there is also a change from any other heading, except from heading 84.79, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.08.70,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to parts of domestic vacuum cleaners of subheading 85.08.70 from any other heading, except from heading 85.09","No required change in tariff classification to parts of domestic vacuum cleaners of subheading 85.08.70, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used","A change to any other good of subheading 85.08.70 from parts of domestic vacuum cleaners of subheading 85.08.70 or any other heading, except from heading 84.79.",1
85.09.40,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.09.40 from any other subheading,,,0
85.09.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to a good of subheading 85.09.80 from any other good within that subheading or any other subheading,,,0
85.09.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.09.90 from any other heading,"No required change in tariff classification to subheading 85.09.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.10.10-85.10.30,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.10.10 through 85.10.30 from any other heading,"A change to subheading 85.10.10 through 85.10.30 from subheading 85.10.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.10.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.10.90 from any other heading,,,0
85.11.10-85.11.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.11.10 through 85.11.80 from any other subheading, including another subheading within that group",,,0
85.11.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.11.90 from any other heading,"No required change in tariff classification to subheading 85.11.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.12.10-85.12.40,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.12.10 through 85.12.40 from any other heading,"A change to subheading 85.12.10 through 85.12.40 from subheading 85.12.90, whether or not there is also a change from any other heading, provided there is also a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.12.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.12.90 from any other heading,,,0
85.13.10,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.13.10 from any other heading,"A change to subheading 85.13.10 from subheading 85.13.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.13.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.13.90 from any other heading,,,0
85.14.10-85.14.30,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.14.10 through 85.14.30 from any other subheading, including another subheading within that group",,,0
85.14.40,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.14.40 from any other heading,"A change to subheading 85.14.40 from subheading 85.14.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.14.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.14.90 from any other heading,"No required change in tariff classification to subheading 85.14.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.15.11-85.15.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.15.11 through 85.15.80 from any other heading,"A change to subheading 85.15.11 through 85.15.80 from subheading 85.15.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.15.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.15.90 from any other heading,,,0
85.16.10-85.16.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.16.10 through 85.16.80 from any other subheading, including another subheading within that group",,,0
85.16.90.cc,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.16.90.cc from any other tariff item,,,0
85.16.90.dd,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.16.90.dd from any other tariff item,,,0
85.16.90.ee,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.16.90.ee from any other tariff item,,,0
85.16.90.ff,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.16.90.ff from any other tariff item,,,0
85.16.90.gg,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to tariff item 85.16.90.gg from any other tariff item,,,0
85.16.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.16.90 from any other heading,"No required change in tariff classification to subheading 85.16.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.17.11,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.17.11 from any other subheading,,,0
85.17.12-85.17.61,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.17.12 through 85.17.61 from any other subheading, including another subheading within that group",,,0
85.17.62-85.17.70,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to a good of any of subheading 85.17.62 through 85.17.70 from any other good within that subheading or any other subheading, including another subheading within that group",,,0
85.18.10-85.18.30,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to a good of any of subheading 85.18.10 through 85.18.30 from any other good within that subheading or any other subheading, including another subheading within that group",,,0
85.18.40-85.18.50,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.18.40 through 85.18.50 from any other heading,"A change to subheading 85.18.40 through 85.18.50 from subheading 85.18.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.18.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.18.90 from any other heading,"A change to subheading 85.18.90 from any other subheading within heading 85.18, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 30 percent where the transaction value method is used; or (b) 25 percent where the net cost method is used.",,0
85.19.20-85.19.89,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to a good of any of subheading 85.19.20 through 85.19.89 from any other good within that subheading or any other subheading, including another subheading within that group",,,0
85.21.10-85.21.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.21.10 through 85.21.90 from any other subheading, including another subheading within that group, except from tariff item 85.22.90.aa",,,0
85.22,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to heading 85.22 from any other heading,,,0
85.23.21-85.23.51,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to a good of any of subheading 85.23.21 through 85.23.51 from any other good within that subheading or any other subheading, including another subheading within that group",,,0
85.23.52,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to other “smart cards” of subheading 85.23.52 from any other good of subheading 85.23.52, except from parts of other “smart cards” of subheading 85.23.52 or any other heading","A change to other “smart cards” of subheading 85.23.52 from parts of other “smart cards” of subheading 85.23.52, whether or not there is also a change from any other good of subheading 85.23.52 or any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used. A change to parts of other “smart cards” of subheading 85.23.52 from any other heading","No required change in tariff classification to parts of other “smart cards” of subheading 85.23.52, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",1
85.23.59-85.23.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to a good of any of subheading 85.23.59 through 85.23.80 from any other good within that subheading or any other subheading, including another subheading within that group",,,0
85.25.50-85.25.60,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.25.50 through 85.25.60 from any subheading outside that group, provided that, with respect to printed circuit assemblies (PCAs) of subheading 85.29.90: (a) except as provided in subparagraph (b), for each multiple of nine PCAs, or any portion thereof, that is contained in the good, only one PCA may be a non-originating PCA; and (b) if the good contains less than three PCAs, all of the PCAs must be originating PCAs.",,,0
85.25.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to gyrostabilized television cameras of subheading 85.25.80 from any other good of subheading 85.25.80 or any other subheading, except from studio television cameras, other than shoulder-carried cameras and other portable cameras, of subheading 85.25.80","A change to other television cameras of subheading 85.25.80 from any other good of subheading 85.25.80 or any other subheading, except from gyrostabilized television cameras of subheading 85.25.80",A change to any other good of subheading 85.25.80 from television cameras of subheading 85.25.80 or any other subheading.,1
85.26.10-85.26.92,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.26.10 through 85.26.92 from any other subheading, including another subheading within that group",,,0
85.27.12-85.27.99,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.27.12 through 85.27.99 from any other subheading, including another subheading within that group, except from printed circuit assemblies (PCAs) of subheading 85.29.90",,,0
85.28,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to heading 85.28 from any other heading,"No required change in tariff classification to heading 85.28, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.29.10,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.29.10 from any other heading,"No required change in tariff classification to subheading 85.29.10, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.29.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change of subheading 85.29.90 from any other good within the same subheading,"No required change in tariff classification to subheading 85.29.90, provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
85.30.10-85.30.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.30.10 through 85.30.80 from any other heading,"A change to subheading 85.30.10 through 85.30.80 from subheading 85.30.90, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.30.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.30.90 from any other heading,"No required change in tariff classification to subheading 85.30.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.31.10,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.31.10 from any other subheading,,,0
85.31.20,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to a good of subheading 85.31.20 from any other good within that subheading or any other subheading,,,0
85.31.80,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.31.80 from any other subheading,,,0
85.31.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to a good of subheading 85.31.90 from any other good within that subheading or any other subheading,,,0
85.32.10-85.32.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to a good of any of subheading 85.32.10 through 85.32.90 from any other good within that subheading or any other subheading, including another subheading within that group",,,0
85.33.10-85.33.39,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.33.10 through 85.33.39 from any other subheading, including another subheading within that group",,,0
85.33.40,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.33.40 from any other subheading, except from tariff item 85.33.90.aa",,,0
85.33.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to a good of subheading 85.33.90 from any other good within that subheading or any other subheading,,,0
85.34,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to heading 85.34 from any other heading,,,0
85.35.90.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.35.90.aa from any other tariff item, except from tariff item 85.38.90.aa","A change to tariff item 85.35.90.aa from tariff item 85.38.90.aa, whether or not there is also a change from any other tariff item, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.35,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to heading 85.35 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to heading 85.35 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.10-85.36.20,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.36.10 through 85.36.20 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to subheading 85.36.10 through 85.36.20 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.30.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.36.30.aa from any other tariff item, except from tariff item 85.38.90.aa","A change to tariff item 85.36.30.aa from tariff item 85.38.90.aa, whether or not there is also a change from any other tariff item, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.30,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to any other good of subheading 85.36.30 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to any other good of subheading 85.36.30 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.41-85.36.49,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.36.41 through 85.36.49 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to subheading 85.36.41 through 85.36.49 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.50.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.36.50.aa from any other tariff item, except from tariff item 85.38.90.aa","A change to tariff item 85.36.50.aa from tariff item 85.38.90.aa, whether or not there is also a change from any other tariff item, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.50,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to any other good of subheading 85.36.50 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to any other good of subheading 85.36.50 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.61-85.36.69,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.36.61 through 85.36.69 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to subheading 85.36.61 through 85.36.69 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.36.70,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to plastic connectors of subheading 85.36.70 from any other good of subheading 85.36.70 or any other subheading, except from heading 39.26, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used. A change to ceramic connectors of subheading 85.36.70 from any other good of subheading 85.36.70 or any other subheading, except from Chapter 69","A change to copper connectors of subheading 85.36.70 from any other good of subheading 85.36.70 or any other subheading, except from heading 74.19.",,0
85.36.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.36.90 from any other heading, except from tariff item 85.38.90.bb or 85.38.90.cc","A change to subheading 85.36.90 from tariff item 85.38.90.bb or 85.38.90.cc, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.37,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to heading 85.37 from any other heading, except from printed circuit assemblies of subheading 85.38.90 or moulded parts of subheading 85.38.90","A change to heading 85.37 from printed circuit assemblies of subheading 85.38.90 or moulded parts of subheading 85.38.90 or, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 50 percent where the transaction value method is used; or (b) 40 percent where the net cost method is used.",,0
85.38.10-85.38.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.38.10 through 85.38.90 from any other heading,"A change to subheading 85.38.10 through 85.38.90 from any other subheading within that group, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.39.10-85.39.49,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to subheading 85.39.10 through 85.39.49 from any other subheading, except from any subheading within that group",,,0
85.39.90,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.39.90 from any other heading,,,0
85.40.11.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.11.aa from any other subheading, except from more than one of the following: tariff item 70.11.20.aa, tariff item 85.40.91.aa.",,,0
85.40.11.bb,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.11.bb from any other subheading, except from more than one of the following: tariff item 70.11.20.aa, tariff item 85.40.91.aa.",,,0
85.40.11.cc,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.11.cc from any other subheading, except from tariff item 85.40.91.aa",,,0
85.40.11.dd,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.11.dd from any other subheading, except from tariff item 85.40.91.aa",,,0
85.40.11,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",A change to subheading 85.40.11 from any other heading,"A change to subheading 85.40.11 from subheading 85.40.91, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
85.40.12.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.12.aa from any other subheading, except from more than one of the following: tariff item 70.11.20.aa, tariff item 85.40.91.aa.",,,0
85.40.12.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.12.aa from any other subheading, except from tariff item 85.40.91.aa",,,0
85.40.12.bb,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles","A change to tariff item 85.40.12.bb from any other subheading, except from tariff item 85.40.91.aa",,,0
